,road,id,model_type,name,lat,lon,length,condition
1064,N1,101065,bridge,NILA - HOAB RABG BRIDGE,21.0340308457564,92.2407063719557,32.1,B
1065,N1,101066,link,Link,21.03099265691775,92.24114609826594,695.9999999999695,None
1066,N1,101067,bridge,NILLA BOX CULVERT (1),21.0279544680791,92.2415858245762,4.4,A
1067,N1,101068,link,Link,21.0268071699247,92.2416949972163,252.9999999999859,None
1068,N1,101069,bridge,NILA. BARAR BOX CULVERT,21.0256598717703,92.2418041698564,2.9,A
1069,N1,101070,link,Link,21.022734309438853,92.24230909877114,689.0000000000214,None
1070,N1,101071,bridge,NILA - DORGA- PARA-(1) BOX,21.0198087471074,92.2428140276859,2.8,A
1071,N1,101072,link,Link,21.018575251573,92.24332625200715,307.9999999999927,None
1072,N1,101073,bridge,NILA DOGA PARA BOX CULVERT,21.0173417560386,92.2438384763284,2.8,A
1073,N1,101074,link,Link,21.016635395206798,92.2442975881642,187.00000000001182,None
1074,N1,101075,bridge,NAT MURA PARA BOX CULVERT,21.015929034375,92.2447567,1.9,A
1075,N1,101076,link,Link,21.0128488406052,92.2471472120253,862.9999999999995,None
1076,N1,101077,bridge,CHOUDORIY PARA RCC GIDER BRIDGE,21.0097686468354,92.2495377240506,45.6,B
1077,N1,101078,link,Link,21.0077969715309,92.25090878148279,540.0000000000205,None
1078,N1,101079,bridge,RONGI HALI BOX CULVERT,21.0058252962264,92.252279838915,2.8,B
1079,N1,101080,link,Link,21.002615596427802,92.2530006327159,750.9999999999764,None
1080,N1,101081,bridge,RONGI- KHALI RCC GIDER BRIDGE,20.9994058966292,92.2537214265168,12.5,C
1081,N1,101082,link,Link,20.9943820795814,92.25414632963304,1163.000000000011,None
1082,N1,101083,bridge,ALA KHALI KUNA PARA,20.9893582625336,92.2545712327493,29.9,C
1083,N1,101084,link,Link,20.98534499073985,92.2533423579105,956.9999999999936,None
1084,N1,101085,bridge,LADA BAZAR BOX CULVERT,20.9813317189461,92.2521134830717,1.2,C
1085,N1,101086,link,Link,20.98017984815015,92.2516681649663,274.99999999997726,None
1086,N1,101087,bridge,Ladapara Bridge,20.9790279773542,92.2512228468609,36.6,A
1087,N1,101088,link,Link,20.97748259947845,92.25060635618306,374.00000000002365,None
1088,N1,101089,bridge,NAYAPARA BOX CULVERT,20.9759372216027,92.2499898655052,2.8,A
1089,N1,101090,link,Link,20.97460769930305,92.24968299036,317.0000000000073,None
1090,N1,101091,bridge,NOYAPARA RCC GIDER BRIDGE,20.9732781770034,92.2493761152148,30.4,B
1091,N1,101092,link,Link,20.971217629881,92.2490145081821,491.9999999999618,None
1092,N1,101093,bridge,NAYA PARA BOX CULVERT,20.9691570827586,92.2486529011494,1.2,A
1093,N1,101094,link,Link,20.9685052489423,92.24881249805365,161.00000000000136,None
1094,N1,101095,bridge,MOSINNI RCC GIDER BRIDGE,20.967853415126,92.2489720949579,8.8,B
1095,N1,101096,link,Link,20.9667110050407,92.2499222439181,337.00000000004593,None
1096,N1,101097,bridge,NOYA PARA CULVERT,20.9655685949554,92.2508723928783,1.2,A
1097,N1,101098,link,Link,20.9634958697991,92.2520631928677,534.9999999999682,None
1098,N1,101099,bridge,Noya Para Bridge,20.9614231446428,92.2532539928571,9.2,A
1099,N1,101100,link,Link,20.960684070003502,92.25348636596495,175.00000000001137,None
1100,N1,101101,bridge,JADIMURA (NOYA PARA)BRIDGE,20.9599449953642,92.2537187390728,41.75,B
1101,N1,101102,link,Link,20.95852250415265,92.25418569894815,338.0000000000223,None
1102,N1,101103,bridge,JADIMORH BOX CULVERT,20.9571000129411,92.2546526588235,1.2,A
1103,N1,101104,link,Link,20.953122572606,92.25653677343564,1007.000000000005,None
1104,N1,101105,bridge,Umor khali Bridge,20.9491451322709,92.2584208880478,35.5,A
1105,N1,101106,link,Link,20.9486494096137,92.2588421081543,152.99999999996317,None
1106,N1,101107,bridge,DONDO MIA BOX CULVERT,20.9481536869565,92.2592633282608,1.5,A
1107,N1,101108,link,Link,20.9470022397349,92.25979831413039,343.9999999999941,None
1108,N1,101109,bridge,DOMMO MIA BOX CULVERT,20.9458507925133,92.2603333,1.2,A
1109,N1,101110,link,Link,20.9443196576928,92.260465056117,384.9999999999909,None
1110,N1,101111,bridge,DHANDO MIA,20.9427885228723,92.260596812234,38.6,C
1111,N1,101112,link,Link,20.940046891436147,92.26148589111699,656.0000000000059,None
1112,N1,101113,bridge,DONDO MIA CHAK POST BRIDGE,20.93730526,92.26237497,51.0,B
1113,N1,101114,link,Link,20.93486564597935,92.262994185,576.9999999999982,None
1114,N1,101115,bridge,Domodia Bridge(1),20.9324260319587,92.2636134,13.5,A
1115,N1,101116,link,Link,20.93215090219065,92.26366301249999,63.00000000004502,None
1116,N1,101117,bridge,Domdomia Bridge(2),20.9318757724226,92.263712625,13.5,A
1117,N1,101118,link,Link,20.931137725901998,92.26384571249994,168.99999999998272,None
1118,N1,101119,bridge,DONDOMIA,20.9303996793814,92.2639787999999,2.7,A
1119,N1,101120,link,Link,20.9292685334407,92.26413999843746,257.000000000005,None
1120,N1,101121,bridge,DONOMIA,20.9281373875,92.264301196875,34.8,C
1121,N1,101122,link,Link,20.92676320779195,92.26462317770255,322.00000000000273,None
1122,N1,101123,bridge,DONMIA,20.9253890280839,92.2649451585301,2.7,D
1123,N1,101124,link,Link,20.9231583368721,92.2661989832273,577.9999999999745,None
1124,N1,101125,bridge,KARUMTOLI,20.9209276456603,92.2674528079245,37.6,B
1125,N1,101126,link,Link,20.9199079228301,92.26808022896225,269.00000000000546,None
1126,N1,101127,bridge,KARUNTON BOX CULVERT,20.9188881999999,92.26870765,1.2,A
1127,N1,101128,link,Link,20.91844216999995,92.26890427214285,110.99999999999,None
1128,N1,101129,bridge,Karumtoli choto(1) Bridge,20.91799614,92.2691008942857,6.0,A
1129,N1,101130,link,Link,20.917351319019602,92.26947901871145,168.00000000000637,None
1130,N1,101131,bridge,SHOLO BANDOR TAKNAF,20.9167064980392,92.2698571431372,6.0,A
1131,N1,101132,link,Link,20.91603861022645,92.27029055691341,175.00000000001137,None
1132,N1,101133,bridge,KAKUM TOLI CHACK BOX CULVERT,20.9153707224137,92.2707239706896,1.2,B
1133,N1,101134,link,Link,20.91500290172405,92.27096533620684,96.00000000000364,None
1134,N1,101135,bridge,KARUMTOLI (3)BOX CULVERT,20.9146350810344,92.2712067017241,2.8,A
1135,N1,101136,link,Link,20.913129689844553,92.27227455131045,437.0000000000118,None
1136,N1,101137,bridge,KARUM TOLI BOX CULVERT,20.9116242986547,92.2733424008968,1.3,A
1137,N1,101138,link,Link,20.910540602466348,92.27406486502235,289.9999999999636,None
1138,N1,101139,bridge,Polashir Bridge,20.909456906278,92.2747873291479,10.6,A
1139,N1,101140,link,Link,20.9087445170045,92.275238957221,192.00000000000728,None
1140,N1,101141,bridge,BAROY TOLI RCC GIDER BRIDGE,20.908032127731,92.2756905852941,30.0,A
1141,N1,101142,link,Link,20.907740045378098,92.2758748191176,76.99999999999818,None
1142,N1,101143,bridge,BORY TOLI SLAB CULVERT,20.9074479630252,92.2760590529411,2.8,A
1143,N1,101144,link,Link,20.9067125554963,92.2765723057388,210.00000000003638,None
1144,N1,101145,bridge,BORYTOLI SLAB CULVERT,20.9059771479674,92.2770855585365,2.8,A
1145,N1,101146,link,Link,20.90564114247685,92.27732972721344,88.99999999999864,None
1146,N1,101147,bridge,BARITOLI BOX CULVERT,20.9053051369863,92.2775738958904,2.8,A
1147,N1,101148,link,Link,20.90493849607045,92.27782536701736,99.9999999999659,None
