BridgeID,12,13,14,15,16,17,18,19,20,21
100075,,115628.77953677186,116166.8255351668,,,114603.6044476463,,,112492.36692261291,109910.66239688224
100077,,,25729.221508554463,25217.084685168968,,,24379.547054032824,25199.608697984,,24526.96604749463
100079,,64005.63624385309,65113.172877802084,64321.96097511915,,,,62795.78879197597,,
100081,23123.80230396532,,,,,,,,24664.376875098365,
100083,223620.91166227852,,,,,243645.32417875508,,,235606.51639219734,237855.32407777544
100085,,64289.7138404642,65547.10663486632,64215.66803267825,,64436.37575480636,,63598.920417206085,64214.88888607504,63347.71226599731
100087,23926.32307054693,,,25615.53582800038,,25972.665908106832,,25369.70374259786,25700.749585143065,25199.809543917392
100089,,,,65282.96547635642,,,62048.41949643975,64610.551895939905,,
100091,24258.77511879328,,26329.381707111603,,24871.42888358432,,24793.53364514094,25889.40299907699,25492.039552811737,25183.094104052216
100093,,26163.6680095498,,,,26308.86893559466,,,,25200.399581096164
100095,,,,,62964.603880497154,,,,,
100097,60982.536678985365,,,65145.64285505374,,,62200.92734794759,,64274.67988789699,
100099,,25965.798069557404,,,25145.233183926244,26390.819338573318,,,25824.350756777807,25733.562547126043
100101,61021.940718415884,65484.122304619814,65713.44652671805,66132.81411874395,62913.488839587604,66338.2009428219,61768.05091036799,64504.26454503503,,65008.290619098705
100103,,26270.430212034942,26530.90601678039,,25574.94361333624,26768.157087650576,,,25954.735266031163,
100105,24502.84307840536,26299.247082295,26703.096494899848,26378.522594985236,,26356.441252180022,,,,25942.512118758626
100107,24395.156548159797,,,,,,,,,25921.981684687762
100109,24718.52519362271,,26763.723422820476,,25305.748485995562,,,26096.15155880864,,25931.720937532213
100111,24643.325827668214,,26938.17284623527,26380.583285608576,25586.870799178407,,,26006.008823951866,,
100113,,26103.147944857323,,26548.13748363352,25510.166016977248,,,26382.40633430752,,25918.57947117446
100115,,66038.21003334869,,,,,,,,66182.23311739387
100117,,26526.44081285593,,26674.758420963164,25863.764467216715,,,,25867.418187262723,
100119,,,26960.503106708726,,,,,,,26333.324820960013
100121,24860.18073159878,26501.35593726562,,,,,,26479.86356334327,,
100123,,26737.09271813771,26979.217709350964,,,,,,26278.129889840187,
100125,,,,26603.13991571165,25680.494393622852,,25149.646347301055,,,
100129,,,,30441.66888747242,,,,29819.76560565079,,30801.12761768209
100131,,30228.989922415793,,,28860.399143770897,,,,29211.009585847667,
100133,72967.2745382725,,,,,75873.88512603073,70751.49899107197,75233.00454186388,,
100135,72708.47769345282,76119.59879610727,76240.85747792457,,,,70899.09296200248,,73674.42121144834,
100137,73536.9937836905,,,76835.82697321895,72538.14818628886,77993.53480404023,,,72982.25098043904,
100139,,,77529.2020976477,76532.61803235178,73527.84961633621,,,76088.27190129348,75722.60880693953,77249.51060503874
100141,,77067.12026637602,,,73832.69520809269,,,,76454.83286987682,76933.59857303827
100143,,,78127.26515457839,,,,,,,
100145,,75688.53256667679,,,,79219.95251867002,72561.75189041976,,,78467.28228741097
100147,73016.31013808005,,,77704.41281988216,74107.75264138266,,,,76193.40729498625,
100149,,30254.82864236525,,,,,29142.01824446,,30836.660995728478,31320.236815708802
100151,,,,77628.50548892953,76204.09041998255,,,,,
100153,,30872.92141269443,,31376.635861557606,,31269.262912840837,29056.06628728097,30729.12042241726,30922.533808829758,
100155,29157.70399638569,,30902.037515061624,31395.08605829661,30374.7155689565,,,30526.70013309182,30775.570388815595,
100157,,,,,76344.54619958665,,72909.44629826715,77115.45549138576,,
100159,29172.728538397216,,31072.49808100848,,30301.378218257105,,29092.44034757593,30825.476596617784,,31856.638865163917
100161,,30755.68633157985,31291.867620183053,,,,,31077.839682861268,,
100163,29288.64295975582,,,,30604.49811667697,31102.071424386595,,,,
100165,29312.631878012267,,,31585.006476071605,,,29332.07502262715,,30934.43800520153,
