,road,id,model_type,name,lat,lon,length,condition,chainage
212,N1,100213,bridge,Chanara Box Culvert,23.1074284451388,91.3400495436111,6.1,A,133.155
213,N1,100214,link,Link,23.10459238289545,91.34160627126205,713.3999999999894,NaN,133.514
214,N1,100215,bridge,CHANGARPULL(II) BOX CULVERT,23.1017563206521,91.343162998913,3.1,B,133.873
215,N1,100216,link,Link,23.09955378668965,91.34432931491105,546.6999999999973,NaN,134.1495
216,N1,100217,bridge,ADONCORA,23.0973512527272,91.3454956309091,9.5,B,134.426
217,N1,100218,link,Link,23.0951905448229,91.3466632347859,541.7000000000019,NaN,134.7
218,N1,100219,bridge,PODOYA BOX CULVERT,23.0930298369186,91.3478308386627,3.1,A,134.974
219,N1,100220,link,Link,23.090052603966498,91.34952049396901,742.8250000000237,NaN,135.3485
220,N1,100221,bridge,FOEALTPARA BOX CULVERT,23.0870753710144,91.3512101492753,9.25,B,135.723
221,N1,100222,link,Link,23.084533162072653,91.3526956483568,645.6249999999868,NaN,136.049
222,N1,100223,bridge,UTTOR KAIEATI CULVERT,23.0819909531309,91.3541811474383,3.5,A,136.375
223,N1,100224,link,Link,23.0799778289153,91.3553908252857,515.1500000000009,NaN,136.637
224,N1,100225,bridge,KOKALI BOX CULVERT,23.0779647046997,91.3566005031331,14.2,B,136.899
225,N1,100226,link,Link,23.07408144434985,91.35845135156654,946.8499999999937,NaN,137.3775
226,N1,100227,bridge,DUTHOSHA BOX CULVERT,23.070198184,91.3603022,6.1,B,137.856
227,N1,100228,link,Link,23.06547275866665,91.36108233095236,1091.9500000000085,NaN,138.40449999999998
228,N1,100229,bridge,MOHAMMAD ALI MAZAR,23.0607473333333,91.3618624619047,4.0,B,138.953
229,N1,100230,link,Link,23.0493600694444,91.3637704671703,2570.6000000000026,NaN,140.24200000000002
230,N1,100231,bridge,FATAPUR BOX CULVERT,23.0379728055555,91.3656784724359,10.8,A,141.531
231,N1,100232,link,Link,23.032476461314303,91.365589478204,1255.8000000000004,NaN,142.162
232,N1,100233,bridge,DEBIPUR SLAB CULVERT,23.0269801170731,91.3655004839721,1.6,A,142.793
233,N1,100234,link,Link,23.019692479057703,91.37174004947789,2143.4999999999864,NaN,143.86599999999999
234,N1,100235,bridge,CHARIPUR CULVERT.,23.0124048410423,91.3779796149837,3.4,A,144.939
235,N1,100236,link,Link,23.010980220521148,91.37967000749185,458.2999999999989,NaN,145.17399999999998
236,N1,100237,intersection,Intersection with N104 / Km post missing,23.0095556,91.3813604,20.0,,145.409
237,N1,100238,link,Link,23.004402178,91.3885678,1876.2500000000005,NaN,146.3525
238,N1,100239,bridge,RAMPUR BOX CULVERT,22.999248756,91.3957752,1.5,A,147.296
239,N1,100240,link,Link,22.9969884176401,91.39903234503815,842.5500000000181,NaN,147.7235
240,N1,100241,bridge,RAMPUR BRIDGE,22.9947280792802,91.4022894900763,23.4,A,148.151
241,N1,100242,link,Link,22.97808840810855,91.4226428463895,5630.864999999979,NaN,150.997
242,N1,100243,bridge,Lemua Bridge(L),22.9614487369369,91.4429962027027,98.87,C,153.843
243,N1,100244,link,Link,22.95502630180175,91.461247793018,4137.815000000016,NaN,155.937
244,N1,100245,bridge,FAZAILPUR BOXCULVERT,22.9486038666666,91.4794993833333,1.5,A,158.031
245,N1,100246,link,Link,22.94910823783565,91.49078314142966,2251.4999999999845,NaN,159.20499999999998
246,N1,100247,bridge,MUHURI BRIDGE,22.9496126090047,91.502066899526,191.5,B,160.379
247,N1,100248,link,Link,22.9322886575725,91.51417821730685,4597.035000000002,NaN,162.781
248,N1,100249,bridge,DumGhat Bridge(L),22.9149647061403,91.5262895350877,222.43,A,165.183
